YEARLY_INCOME,CURRENT_SAVINGS_TO_YEARLY_INCOME_RATIO,CURRENT_DEBT_TO_YEARLY_INCOME_RATIO,CURRENT_DEBT_TO_CURRENT_SAVINGS_RATIO,YEARLY_CLOTHING_TO_YEARLY_INCOME_RATIO,YEARLY_CLOTHING_TO_CURRENT_SAVINGS_RATIO,YEARLY_CLOTHING_TO_CURRENT_DEBT_RATIO,YEARLY_EDUCATION_TO_YEARLY_INCOME_RATIO,YEARLY_EDUCATION_TO_CURRENT_SAVINGS_RATIO,YEARLY_EDUCATION_TO_CURRENT_DEBT_RATIO,YEARLY_ENTERTAINMENT_TO_YEARLY_INCOME_RATIO,YEARLY_ENTERTAINMENT_TO_CURRENT_SAVINGS_RATIO,YEARLY_ENTERTAINMENT_TO_CURRENT_DEBT_RATIO,YEARLY_LOAN_FINES_TO_YEARLY_INCOME_RATIO,YEARLY_LOAN_FINES_TO_CURRENT_SAVINGS_RATIO,YEARLY_LOAN_FINES_CURRENT_DEBT_RATIO,YEARLY_GAMBLING_TO_YEARLY_INCOME_RATIO,YEARLY_GAMBLING_TO_CURRENT_SAVINGS_RATIO,YEARLY_GAMBLING_TO_CURRENT_DEBT_RATIO,YEARLY_GROCERIES_TO_YEARLY_INCOME_RATIO,YEARLY_GROCERIES_TO_CURRENT_SAVINGS_RATIO,YEARLY_GROCERIES_TO-CURRENT_DEBT_RATIO,YEARLY_HEALTH_TO_YEARLY_INCOME_RATIO,YEARLY_HEALTH__TO_CURRENT_SAVINGS_RATIO,YEARLY_HEALTH_TO_CURRENT_DEBT_RATIO,YEARLY_HOUSING_TO_YEARLY_INCOME_RATIO,YEARLY_HOUSING_TO_CURRENT_SAVINGS_RATIO,YEARLY_HOUSING_TO_CURRENT_DEBT_RATIO,YEARLY_TAX_TO_YEARLY_INCOME_RATIO,YEARLY_TAX_TO_CURRENT_SAVINGS_RATIO,YEARLY_TAX_TO_CURRENT_DEBT_RATIO,YEARLY_TRAVEL_TO_YEARLY_INCOME_RATIO,YEARLY_TRAVEL_TO_CURRENT_SAVINGS_RATIO,YEARLY_TRAVEL_TO_CURRENT_DEBT_RATIO,YEARLY_UTILITIES_TO_YEARLY_INCOME_RATIO,YEARLY_UTILITIES_TO_CURRENT_SAVINGS_RATIO,YEARLY_UTILITIES_TO_CURRENT_DEBT_RATIO,YEARLY_EXPENDITURE_TO_YEARLY_INCOME_RATIO,YEARLY_EXPENDITURE_TO_CURRENT_SAVINGS_RATIO,YEARLY_EXPENDITURE_TO_CURRENT_DEBT_RATIO,CREDIT_SCORE
6789,0.5714,0,0,0.0183,0.032,0.0634,0,0,0,0.3624,0.6342,0.0504,0,0,0.0001,0,0,0.0004,0.0645,0.1129,0,0,0,0.0557,0,0,0.3985,0,0,0,0.9834,1.7211,0,0,0,0,1.4285,2.5001,2.8772,599
11371,8.0907,0.8181,0.1011,0.0494,0.0061,0.0604,0,0,0,0.2554,0.0316,0.3122,0,0,0,0.0179,0.0022,0.0219,0.2862,0.0354,0.3498,0.1915,0.0237,0.234,0,0,0,0.0116,0.0014,0.0142,0,0,0,0.0971,0.012,0.1187,0.9091,0.1124,1.1111,673
81157,0.1818,1,5.4999,0.1747,0.9608,0.1747,0,0,0,0.3269,1.7981,0.3269,0,0,0,0.1589,0.8739,0.1589,0.1268,0.6975,0.1268,0.0311,0.1713,0.0311,0,0,0,0.0371,0.2041,0.0371,0,0,0,0.0535,0.2943,0.0535,0.9091,4.9999,0.9091,646
126790,2.9167,9.5833,3.2857,0.0656,0.0225,0.0068,0.0344,0.0118,0.0036,0.1279,0.0439,0.0133,0,0,0,0,0,0,0.1174,0.0402,0.0122,0.0677,0.0232,0.0071,0,0,0,0.0522,0.0179,0.0054,0.3,0.1029,0.0313,0.0682,0.0234,0.0071,0.8333,0.2857,0.087,581
189395,1.0909,3.5454,3.25,0.0884,0.081,0.0249,0.0494,0.0453,0.0139,0.1504,0.1379,0.0424,0,0,0,0.0913,0.0837,0.0258,0.0439,0.0402,0.0124,0.0159,0.0146,0.0045,0.1414,0.1296,0.0399,0.0205,0.0188,0.0058,0.2833,0.2597,0.0799,0.0245,0.0225,0.0069,0.9091,0.8333,0.2564,633
26754,0.6,6.7,11.167,0.1017,0.1694,0.0152,0,0,0,0.3389,0.5648,0.0506,0,0,0,0,0,0,0.1106,0.1844,0.0165,0.0325,0.0542,0.0049,0.3214,0.5357,0.048,0.0389,0.0648,0.0058,0,0,0,0.056,0.0934,0.0084,1,1.6667,0.1493,566
113172,7.3637,8.5455,1.1605,0.0311,0.0042,0.0036,0,0,0,0.0762,0.0104,0.0089,0,0,0,0,0,0,0.4957,0.0673,0.058,0.0975,0.0132,0.0114,0,0,0,0.0577,0.0078,0.0068,0,0,0,0.1508,0.0205,0.0176,0.9091,0.1235,0.1064,596
0,5.2251,5.5207,1.7317,0.0247,0,0,0.1645,0,0,0.2694,0,0,0.0017,0,0,0,0,0,0.2173,0.0156,0.009,0.0027,0.0027,0.0016,0,0.0218,0.0126,0,0,0,0.4604,0.1962,0.1133,0.0685,0.0077,0.0044,0.8205,0.2439,0.1408,623
60213,14.5555,1.2222,0.084,0.0486,0.0033,0.0398,0,0,0,0.1679,0.0115,0.1374,0,0,0,0,0,0,0.1721,0.0118,0.1408,0.1372,0.0094,0.1123,0.2565,0.0176,0.2099,0.0068,0.0005,0.0055,0.2652,0.0182,0.217,0.0568,0.0039,0.0464,1.1111,0.0763,0.9091,630
49201,0.9,4.6,5.1111,0.1073,0.1192,0.0233,0.0597,0.0664,0.013,0.1834,0.2038,0.0399,0,0,0,0,0,0,0.0613,0.0681,0.0133,0.0215,0.0238,0.0047,0.1709,0.1899,0.0372,0.0227,0.0252,0.0049,0.3434,0.3816,0.0747,0.0298,0.0331,0.0065,1,1.1111,0.2174,624
364432,2.8182,6.2727,2.2258,0.0051,0.0018,0.0008,0.0974,0.0346,0.0155,0.0573,0.0203,0.0091,0,0,0,0.009,0.0032,0.0014,0.2293,0.0813,0.0365,0.0416,0.0147,0.0066,0.2136,0.0758,0.034,0.0215,0.0076,0.0034,0.1829,0.0649,0.0292,0.0515,0.0183,0.0082,0.9091,0.3226,0.1449,597
122247,0.4,8.3,20.7499,0.0638,0.1595,0.0077,0,0,0,0.2431,0.6077,0.0293,0,0,0,0,0,0,0.0818,0.2044,0.0098,0.0329,0.0823,0.004,0,0,0,0.0329,0.0823,0.004,0.5059,1.2649,0.061,0.0396,0.0991,0.0048,1,2.5,0.1205,581
276482,5.5833,0.0833,0.0149,0.0404,0.0072,0.4846,0.1233,0.0221,1.4793,0.0435,0.0078,0.5217,0,0,0,0.0104,0.0019,0.125,0.2542,0.0455,3.05,0.0393,0.007,0.4711,0,0,0,0.0273,0.0049,0.3272,0.2295,0.0411,2.7541,0.0656,0.0117,0.787,0.8333,0.1493,10.0001,670
455849,2.9167,2.3333,0.8,0.0382,0.0131,0.0164,0,0,0,0.12,0.0412,0.0514,0,0,0,0,0,0,0.0918,0.0315,0.0393,0.0371,0.0127,0.0159,0.1196,0.041,0.0513,0.037,0.0127,0.0158,0.3451,0.1183,0.1479,0.0446,0.0153,0.0191,0.8333,0.2857,0.3571,645
22231,11,1.7,0.1545,0.0604,0.0055,0.0355,0,0,0,0.0931,0.0085,0.0547,0,0,0,0,0,0,0.1401,0.0127,0.0824,0.1124,0.0102,0.0661,0,0,0,0.0049,0.0004,0.0029,0.5465,0.0497,0.3215,0.0427,0.0039,0.0251,1,0.0909,0.5882,616
199356,2,2,1,0.1258,0.0629,0.0629,0,0,0,0.1256,0.0628,0.0628,0,0,0,0,0,0,0.1384,0.0692,0.0692,0.0564,0.0282,0.0282,0,0,0,0.0556,0.0278,0.0278,0.2651,0.1326,0.1326,0.0664,0.0332,0.0332,0.8333,0.4167,0.4167,632
62978,6,1.7273,0.2879,0.0231,0.0039,0.0134,0,0,0,0.1032,0.0172,0.0598,0,0,0,0,0,0,0.1033,0.0172,0.0598,0.1069,0.0178,0.0619,0.2149,0.0358,0.1244,0.0052,0.0009,0.003,0.3049,0.0508,0.1765,0.0474,0.0079,0.0275,0.9091,0.1515,0.5263,639
0,4.8507,11.3973,0.9473,0.038,0,0,0.0179,0,0,0.1527,0,0,0.0017,0,0,0.0065,0.0873,0.0921,0,0.129,0.1361,0,0.0163,0.0172,0.3134,0.2175,0.2296,0.0611,0,0,0.1684,0,0,0.0665,0.0762,0.0805,1.1253,0.5263,0.5556,490
167342,4,6.4167,1.6042,0.0958,0.0239,0.0149,0,0,0,0.232,0.058,0.0362,0,0,0,0.0938,0.0234,0.0146,0.1874,0.0469,0.0292,0.0648,0.0162,0.0101,0,0,0,0.0691,0.0173,0.0108,0,0,0,0.0904,0.0226,0.0141,0.8333,0.2083,0.1299,555
29647,14.8,1.4,0.0946,0.0459,0.0031,0.0328,0,0,0,0.1308,0.0088,0.0935,0,0,0,0,0,0,0.1756,0.0119,0.1254,0.0725,0.0049,0.0518,0,0,0,0.0059,0.0004,0.0042,0.5162,0.0349,0.3687,0.053,0.0036,0.0379,1,0.0676,0.7143,644
22191,11.4547,0.6364,0.0556,0.0405,0.0035,0.0636,0,0,0,0.1129,0.0099,0.1775,0,0,0,0.0105,0.0009,0.0164,0.1603,0.014,0.2519,0.1107,0.0097,0.1739,0,0,0,0.0055,0.0005,0.0086,0.4168,0.0364,0.6549,0.052,0.0045,0.0818,0.9091,0.0794,1.4286,642
39989,9.6,0.3,0.0313,0.0252,0.0026,0.084,0,0,0,0.1123,0.0117,0.3743,0,0,0,0.0085,0.0009,0.0284,0.1346,0.014,0.4486,0.1404,0.0146,0.4679,0.2292,0.0239,0.7641,0.005,0.0005,0.0167,0.294,0.0306,0.9799,0.0508,0.0053,0.1694,1,0.1042,3.3332,630
68682,8.9091,0.7273,0.0816,0.0243,0.0027,0.0334,0,0,0,0.1312,0.0147,0.1804,0,0,0,0,0,0,0.1236,0.0139,0.1699,0.0679,0.0076,0.0933,0.2736,0.0307,0.3762,0.0072,0.0008,0.0098,0.2207,0.0248,0.3034,0.0607,0.0068,0.0835,0.9091,0.102,1.25,695
0,4.9623,16.4324,3.9998,0.0532,0,0,0,0,0,0.2429,0,0,0.0004,0,0,0.0398,0,0,0.1379,0.0628,0.0157,0.0349,0.0061,0.0015,0.1747,0.07,0.0175,0.041,0,0,0.4266,0.7449,0.1862,0.0717,0.0252,0.0063,0.7763,0.9091,0.2273,462
257356,3.3333,3.0833,0.925,0.0586,0.0176,0.019,0,0,0,0.1239,0.0372,0.0402,0.002,0.0006,0.0007,0,0,0,0.1265,0.0379,0.041,0.0423,0.0127,0.0137,0,0,0,0.0494,0.0148,0.016,0.3659,0.1098,0.1187,0.0647,0.0194,0.021,0.8333,0.25,0.2703,654
165726,8.7273,4.2727,0.4896,0.0494,0.0057,0.0116,0,0,0,0.0506,0.0058,0.0118,0,0,0,0.0139,0.0016,0.0033,0.3223,0.0369,0.0754,0.0699,0.008,0.0163,0,0,0,0.0316,0.0036,0.0074,0.2881,0.033,0.0674,0.0833,0.0095,0.0195,0.9091,0.1042,0.2128,577
88428,4.5833,0.4167,0.0909,0.056,0.0122,0.1343,0,0,0,0.0349,0.0076,0.0838,0,0,0,0,0,0,0.3121,0.0681,0.749,0.0534,0.0116,0.1281,0,0,0,0.026,0.0057,0.0624,0.2825,0.0616,0.678,0.0685,0.0149,0.1644,0.8333,0.1818,2,652
8147,0.091,26.6351,292.8421,0.0512,0.5628,0.0019,0.3227,3.5479,0.0121,0.169,1.8583,0.0063,0,0,0,0,0,0,0.1749,1.9231,0.0066,0.0367,0.4035,0.0014,0.1181,1.2982,0.0044,0,0,0,0,0,0,0.0365,0.4008,0.0014,0.909,9.9946,0.0341,407
105049,1.75,5.6667,3.2381,0.0834,0.0477,0.0147,0,0,0,0.1215,0.0694,0.0214,0,0,0,0.0586,0.0335,0.0103,0.1083,0.0619,0.0191,0.0311,0.0178,0.0055,0,0,0,0.04,0.0228,0.0071,0.3379,0.1931,0.0596,0.0525,0.03,0.0093,0.8333,0.4762,0.1471,545
337587,2.6154,5.6923,2.1765,0.067,0.0256,0.0118,0,0,0,0.1065,0.0407,0.0187,0,0,0,0,0,0,0.1143,0.0437,0.0201,0.0332,0.0127,0.0058,0,0,0,0.046,0.0176,0.0081,0.3471,0.1327,0.061,0.0551,0.0211,0.0097,0.7692,0.2941,0.1351,699
445075,2.3636,7.7273,3.2692,0.0595,0.0252,0.0077,0.0223,0.0094,0.0029,0.1254,0.0531,0.0162,0,0,0,0.0482,0.0204,0.0062,0.1016,0.043,0.0131,0.0235,0.01,0.003,0.1195,0.0506,0.0155,0.0339,0.0143,0.0044,0.3309,0.14,0.0428,0.0443,0.0188,0.0057,0.9091,0.3846,0.1176,453
82444,0.2,5.9,29.4997,0.0526,0.263,0.0089,0,0,0,0.312,1.5602,0.0529,0,0,0,0,0,0,0.0674,0.337,0.0114,0.013,0.0649,0.0022,0.2022,1.0108,0.0343,0.0268,0.1342,0.0045,0.2909,1.4546,0.0493,0.0351,0.1754,0.0059,1,4.9999,0.1695,590
106005,7.1,7.3,1.0282,0.0572,0.0081,0.0078,0,0,0,0.0431,0.0061,0.0059,0,0,0,0.0096,0.0013,0.0013,0.3677,0.0518,0.0504,0.0393,0.0055,0.0054,0,0,0,0.0326,0.0046,0.0045,0.3648,0.0514,0.05,0.0857,0.0121,0.0117,1,0.1408,0.137,529
68418,5.4545,1.0909,0.2,0.0129,0.0024,0.0118,0,0,0,0.1427,0.0262,0.1308,0,0,0,0.0098,0.0018,0.009,0.1114,0.0204,0.1021,0.0676,0.0124,0.062,0.2275,0.0417,0.2085,0.0055,0.001,0.005,0.2812,0.0516,0.2578,0.0505,0.0093,0.0463,0.9091,0.1667,0.8333,630
202715,4.0833,16.5833,4.0612,0.0175,0.0043,0.0011,0,0,0,0.0351,0.0086,0.0021,0,0,0,0.0124,0.003,0.0007,0.2206,0.054,0.0133,0.0328,0.008,0.002,0.2842,0.0696,0.0171,0.0286,0.007,0.0017,0.1333,0.0327,0.008,0.0689,0.0169,0.0042,0.8333,0.2041,0.0503,475
17834,6.5557,2.1111,0.322,0.0325,0.005,0.0154,0,0,0,0.1421,0.0217,0.0673,0,0,0,0,0,0,0.1454,0.0222,0.0689,0.1349,0.0206,0.0639,0.2469,0.0377,0.117,0.0067,0.001,0.0032,0.3476,0.053,0.1646,0.055,0.0084,0.026,1.1111,0.1695,0.5263,644
183630,2.9167,10.5833,3.6286,0.047,0.0161,0.0044,0,0,0,0.0278,0.0095,0.0026,0,0,0,0,0,0,0.2507,0.0859,0.0237,0.0538,0.0184,0.0051,0.2239,0.0768,0.0212,0.0207,0.0071,0.002,0.1555,0.0533,0.0147,0.054,0.0185,0.0051,0.8333,0.2857,0.0787,541
0,2.1847,7.0299,3,0.1115,0,0,0.1017,0,0,0.1764,0,0,0.0002,0,0,0.029,0.0273,0.0091,0.1102,0.0344,0.0115,0.0792,0.005,0.0017,0.227,0,0,0.011,0,0,0.1264,0.4125,0.1375,0.0848,0.0208,0.0069,0.8461,0.5,0.1667,562
152243,3.1429,5.0714,1.6136,0.0278,0.0088,0.0055,0.0306,0.0097,0.006,0.1165,0.0371,0.023,0,0,0,0.0733,0.0233,0.0145,0.1154,0.0367,0.0227,0.0242,0.0077,0.0048,0,0,0,0.0508,0.0162,0.01,0.2147,0.0683,0.0423,0.061,0.0194,0.012,0.7143,0.2273,0.1408,599
31753,10.909,1.5454,0.1417,0.0218,0.002,0.0141,0,0,0,0.1305,0.012,0.0844,0,0,0,0,0,0,0.1127,0.0103,0.0729,0.055,0.005,0.0356,0.2091,0.0192,0.1353,0.0052,0.0005,0.0034,0.3284,0.0301,0.2125,0.0464,0.0042,0.03,0.9091,0.0833,0.5882,601
297745,3,3.4286,1.1429,0.0475,0.0158,0.0138,0,0,0,0.1209,0.0403,0.0353,0,0,0,0.0522,0.0174,0.0152,0.1167,0.0389,0.034,0.0404,0.0135,0.0118,0,0,0,0.0524,0.0175,0.0153,0.2212,0.0737,0.0645,0.063,0.021,0.0184,0.7143,0.2381,0.2083,588
197073,5.1818,9.4545,1.8246,0.0427,0.0082,0.0045,0.1036,0.02,0.011,0.0374,0.0072,0.004,0,0,0,0.01,0.0019,0.0011,0.2146,0.0414,0.0227,0.0265,0.0051,0.0028,0.2281,0.044,0.0241,0.0172,0.0033,0.0018,0.1736,0.0335,0.0184,0.0554,0.0107,0.0059,0.9091,0.1754,0.0962,572
0,8.6892,3.5695,1.2,0.0598,0,0,0.1252,0,0,0.1345,0,0,0.0006,0,0,0.0113,0,0,0.2087,0.0466,0.0388,0.0872,0.0075,0.0063,0.0855,0.0785,0.0654,0.0033,0,0,0.4954,0.3399,0.2833,0.0744,0.0275,0.0229,0.872,0.5,0.4167,596
189857,1.8333,5.25,2.8636,0.0717,0.0391,0.0137,0,0,0,0.0979,0.0534,0.0187,0,0,0,0,0,0,0.1178,0.0643,0.0224,0.0263,0.0144,0.005,0,0,0,0.0429,0.0234,0.0082,0.4251,0.2319,0.081,0.0516,0.0282,0.0098,0.8333,0.4545,0.1587,617
87990,2.5455,0.7273,0.2857,0.0326,0.0128,0.0448,0,0,0,0.0408,0.016,0.0561,0,0,0,0,0,0,0.2398,0.0942,0.3297,0.0519,0.0204,0.0713,0.2558,0.1005,0.3518,0.0258,0.0101,0.0354,0.2001,0.0786,0.2751,0.0623,0.0245,0.0857,0.9091,0.3571,1.25,631
230770,2.6429,3.1429,1.1892,0.0344,0.013,0.0109,0,0,0,0.1083,0.041,0.0345,0,0,0,0,0,0,0.1004,0.038,0.032,0.0344,0.013,0.0109,0,0,0,0.037,0.014,0.0118,0.3511,0.1328,0.1117,0.0488,0.0185,0.0155,0.7143,0.2703,0.2273,638
74577,7,2,0.2857,0.0814,0.0116,0.0407,0,0,0,0.1175,0.0168,0.0588,0,0,0,0,0,0,0.1604,0.0229,0.0802,0.1003,0.0143,0.0502,0,0,0,0.0064,0.0009,0.0032,0.4799,0.0686,0.2399,0.0541,0.0077,0.0271,1,0.1429,0.5,584
98229,4,12.6363,3.1591,0.1793,0.0448,0.0142,0.0447,0.0112,0.0035,0.1703,0.0426,0.0135,0,0,0,0.0743,0.0186,0.0059,0.206,0.0515,0.0163,0.0712,0.0178,0.0056,0,0,0,0.0742,0.0186,0.0059,0,0,0,0.0891,0.0223,0.0071,0.9091,0.2273,0.0719,517
224036,4.1818,5,1.1957,0.0413,0.0099,0.0083,0,0,0,0.0403,0.0096,0.0081,0,0,0,0,0,0,0.3099,0.0741,0.062,0.0759,0.0181,0.0152,0.3287,0.0786,0.0657,0.0331,0.0079,0.0066,0,0,0,0.08,0.0191,0.016,0.9091,0.2174,0.1818,636
